Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
8/10/1990,335.519989,339.8999939,334.2200012,339.8999939,145340000
8/13/1990,338.8399963,338.8800049,332.019989,335.3900146,122820000
8/14/1990,339.3900146,340.9599915,337.1900024,338.8399963,130320000
8/15/1990,340.0599976,341.9200134,339.3800049,339.3900146,136710000
8/16/1990,332.3900146,340.0599976,332.3900146,340.0599976,138850000
8/17/1990,327.8299866,332.3599854,324.6300049,332.3599854,212560000
8/20/1990,328.5100098,329.8999939,327.0700073,327.8299866,129630000
8/21/1990,321.8599854,328.5100098,318.7799988,328.5100098,194630000
8/22/1990,316.5499878,324.1499939,316.5499878,321.8599854,175550000
8/23/1990,307.0599976,316.5499878,306.5599976,316.5499878,250440000
8/24/1990,311.5100098,311.6499939,306.1799927,307.0599976,199040000
8/27/1990,321.4400024,323.1099854,311.5499878,311.5499878,160150000
8/28/1990,321.3399963,322.2000122,320.25,321.4400024,127660000
8/29/1990,324.1900024,325.8299866,320.8699951,321.3399963,134240000
8/30/1990,318.7099915,324.5700073,317.8200073,324.1900024,120890000
8/31/1990,322.5599976,322.5700073,316.5899963,318.7099915,96480000
9/4/1990,323.0899963,323.0899963,319.1099854,322.5599976,92940000
9/5/1990,324.3900146,324.519989,320.9899902,323.0899963,120610000
9/6/1990,320.4599915,324.3900146,319.3699951,324.3900146,125620000
9/7/1990,323.3999939,324.1799927,319.7099915,320.4599915,123800000
9/10/1990,321.6300049,326.5299988,320.3099976,323.4200134,119730000
9/11/1990,321.0400085,322.1799927,319.6000061,321.6300049,113220000
9/12/1990,322.5400085,322.5499878,319.6000061,321.0400085,129890000
9/13/1990,318.6499939,322.5100098,318.019989,322.5100098,123390000
9/14/1990,316.8299866,318.6499939,314.7600098,318.6499939,133390000
9/17/1990,317.769989,318.0499878,315.2099915,316.8299866,110600000
9/18/1990,318.6000061,318.8500061,314.269989,317.769989,141130000
9/19/1990,316.6000061,319.3500061,316.25,318.6000061,147530000
9/20/1990,311.480011,316.6000061,310.5499878,316.6000061,145100000
9/21/1990,311.3200073,312.1700134,307.980011,311.5299988,201050000
9/24/1990,304.5899963,311.2999878,303.5799866,311.2999878,164070000
9/25/1990,308.2600098,308.269989,304.230011,305.4599915,155940000
9/26/1990,305.0599976,308.2799988,303.0499878,308.2600098,155570000
9/27/1990,300.9700012,307.4700012,299.1000061,305.0599976,182690000
9/28/1990,306.0499878,306.0499878,295.980011,300.9700012,201010000
10/1/1990,314.9400024,314.9400024,306.1000061,306.1000061,202210000
10/2/1990,315.2099915,319.6900024,314.9400024,314.9400024,188360000
10/3/1990,311.3999939,316.2600098,310.7000122,315.2099915,135490000
10/4/1990,312.6900024,313.3999939,308.5899963,311.3999939,145410000
